"Start Time","Track","Series","Hosted Session Name"
"2020.02.12 7:30 PM GMT","Okayama International Circuit - Full Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","59","Ford GT GT3","0","Hosted All Cars Class","141923","141923","Maarten van Loozenoord","1","1","0","Running","-00.000","35","","1:27.903","1:26.193","2","35","8","0","100","0"
"2","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","146086","146086","Ben Palmer","2","44","0","Running","-15.349","0","","1:28.342","1:26.702","2","35","16","0","100","0"
"3","94","Ferrari 488 GT3","0","Hosted All Cars Class","278953","278953","Ewan Marshall","5","18","0","Running","-18.704","0","","1:28.438","1:26.608","4","35","6","0","100","0"
"4","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","335074","335074","PJ Claeysens","4","37","0","Running","-21.714","0","","1:28.524","1:26.545","4","35","11","0","100","0"
"5","55","BMW Z4 GT3","0","Hosted All Cars Class","139160","139160","Jeromy Hessels","11","19","0","Running","-30.206","0","","1:28.766","1:27.140","6","35","8","0","100","0"
"6","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","41698","41698","Steven Van Opstal","7","275","0","Running","-36.108","0","","1:28.935","1:27.122","8","35","1","0","100","0"
"7","73","Audi R8 LMS","0","Hosted All Cars Class","324707","324707","dries Moujdy","24","277","0","Running","-45.243","0","","1:29.195","1:27.283","4","35","10","0","100","0"
"8","72","Mercedes AMG GT3","0","Hosted All Cars Class","155689","155689","Daniel McAuley","18","40","0","Running","-53.403","0","","1:29.477","1:27.380","8","35","15","0","100","0"
"9","72","Mercedes AMG GT3","0","Hosted All Cars Class","322223","322223","Jack Ashton","15","200","0","Running","-57.386","0","","1:29.543","1:27.260","3","35","8","0","100","0"
"10","72","Mercedes AMG GT3","0","Hosted All Cars Class","254157","254157","Chris Moretta","22","88","0","Running","-1:01.317","0","","1:29.655","1:27.700","15","35","17","0","100","0"
"11","55","BMW Z4 GT3","0","Hosted All Cars Class","222068","222068","Steven Dewulf","28","276","0","Running","-1:03.814","0","","1:29.726","1:27.307","4","35","6","0","100","0"
"12","72","Mercedes AMG GT3","0","Hosted All Cars Class","305843","305843","John Tusting","14","235","0","Running","-1:04.157","0","","1:29.736","1:27.397","2","35","10","0","100","0"
"13","72","Mercedes AMG GT3","0","Hosted All Cars Class","359902","359902","Matthias Temme","25","77","0","Running","-1:05.533","0","","1:29.867","1:27.719","26","35","15","0","100","0"
"14","72","Mercedes AMG GT3","0","Hosted All Cars Class","141643","141643","Paul Gosling2","20","236","0","Running","-1:06.891","0","","1:29.814","1:27.538","3","35","10","0","100","0"
"15","72","Mercedes AMG GT3","0","Hosted All Cars Class","209160","209160","Stuart Musselwhite","29","318","0","Running","-1:10.844","0","","1:29.927","1:27.621","9","35","12","0","100","0"
"16","72","Mercedes AMG GT3","0","Hosted All Cars Class","127961","127961","Neil Cooper","12","75","0","Running","-1:19.190","0","","1:30.166","1:27.089","10","35","12","0","100","0"
"17","72","Mercedes AMG GT3","0","Hosted All Cars Class","236652","236652","Ashley Beard","23","30","0","Running","-1 L","0","","1:30.075","1:27.636","4","34","16","0","100","0"
"18","72","Mercedes AMG GT3","0","Hosted All Cars Class","310532","310532","Lewis Ward","6","33","0","Running","-1 L","0","","1:28.952","1:27.303","12","34","21","0","100","0"
"19","72","Mercedes AMG GT3","0","Hosted All Cars Class","313474","313474","James Forsdyke","13","32","0","Running","-1 L","0","","1:30.505","1:27.373","15","34","5","0","100","0"
"20","94","Ferrari 488 GT3","0","Hosted All Cars Class","357198","357198","Craig Jones7","34","370","0","Running","-1 L","0","","1:30.507","1:27.923","4","34","8","0","100","0"
"21","72","Mercedes AMG GT3","0","Hosted All Cars Class","228111","228111","John Mcconville","38","223","0","Running","-1 L","0","","1:30.623","1:28.175","11","34","19","0","100","0"
"22","72","Mercedes AMG GT3","0","Hosted All Cars Class","406174","406174","Kevin De Winter","36","331","0","Running","-1 L","0","","1:30.576","1:27.922","9","34","13","0","100","0"
"23","55","BMW Z4 GT3","0","Hosted All Cars Class","317758","317758","Thijs Vanden Berghe","40","315","0","Running","-1 L","0","","1:30.988","1:28.107","3","34","9","0","100","0"
"24","72","Mercedes AMG GT3","0","Hosted All Cars Class","208142","208142","John Barnes4","26","234","0","Running","-1 L","0","","1:31.008","1:27.771","9","34","17","0","100","0"
"25","72","Mercedes AMG GT3","0","Hosted All Cars Class","292686","292686","Bod Boland","10","26","0","Running","-1 L","0","","1:29.841","1:27.537","6","34","23","0","100","0"
"26","72","Mercedes AMG GT3","0","Hosted All Cars Class","303344","303344","Hendrik De Graeve","33","240","0","Running","-1 L","0","","1:31.767","1:28.236","21","34","12","0","100","0"
"27","72","Mercedes AMG GT3","0","Hosted All Cars Class","219226","219226","Ian A Roots","21","246","0","Running","-1 L","0","","1:30.064","1:27.431","7","34","9","0","100","0"
"28","72","Mercedes AMG GT3","0","Hosted All Cars Class","127270","127270","Simon Van  Dijk","30","332","0","Running","-1 L","0","","1:30.775","1:27.903","19","34","21","0","100","0"
"29","72","Mercedes AMG GT3","0","Hosted All Cars Class","317848","317848","Kim Beheyt","27","280","0","Running","-2 L","0","","1:30.897","1:28.075","9","33","23","0","100","0"
"30","72","Mercedes AMG GT3","0","Hosted All Cars Class","178201","178201","Adam J Murray","19","31","0","Running","-3 L","0","","1:30.348","1:27.712","7","32","14","0","100","0"
"31","72","Mercedes AMG GT3","0","Hosted All Cars Class","308617","308617","Steven Kastrop","39","10","32","Disconnected","-3 L","0","","1:32.960","1:28.207","9","32","22","0","100","0"
"32","72","Mercedes AMG GT3","0","Hosted All Cars Class","228725","228725","Danny Kroes","8","63","32","Disconnected","-11 L","0","","1:29.016","1:26.573","3","24","19","0","100","0"
"33","73","Audi R8 LMS","0","Hosted All Cars Class","366839","366839","Caleb John Lavender","41","210","32","Disconnected","-12 L","0","","1:29.666","1:27.559","17","23","7","0","100","0"
"34","73","Audi R8 LMS","0","Hosted All Cars Class","107823","107823","Dion Phillips","9","55","32","Disconnected","-13 L","0","","1:27.412","1:26.697","6","22","3","0","100","0"
"35","94","Ferrari 488 GT3","0","Hosted All Cars Class","409828","409828","Jarno D'Hauw","3","320","32","Disconnected","-19 L","0","","1:29.779","1:27.104","10","16","18","0","100","0"
