"Start Time","Track","Series","Hosted Session Name"
"2020.05.13 4:45 PM GMT","Circuit de Spa-Francorchamps - Grand Prix Pits","Hosted iRacing","DynamiXX Simracersworld? GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","73","Audi R8 LMS","59","GT3 Class","322223","322223","Jack Ashton","1","98","0","Running","-00.000","33","","2:19.599","2:17.143","12","33","9","0","100","0"
"2","72","Mercedes AMG GT3","59","GT3 Class","292686","292686","Bod Boland","3","26","0","Running","-00.595","0","","2:19.617","2:17.463","11","33","14","0","100","0"
"3","73","Audi R8 LMS","59","GT3 Class","166026","166026","Nick Schurmans","2","288","0","Running","-04.204","0","","2:19.727","2:17.318","12","33","16","0","100","0"
"4","55","BMW Z4 GT3","59","GT3 Class","92059","92059","Kevin Bolland","17","350","0","Running","-1:15.545","0","","2:21.888","2:18.850","7","33","24","0","100","0"
"5","72","Mercedes AMG GT3","59","GT3 Class","228111","228111","John Mcconville","16","223","0","Running","-1:15.880","0","","2:21.898","2:18.719","16","33","21","0","100","0"
"6","72","Mercedes AMG GT3","59","GT3 Class","236652","236652","Ashley Beard","20","30","0","Running","-1:23.817","0","","2:20.942","2:17.642","10","33","20","0","100","0"
"7","72","Mercedes AMG GT3","59","GT3 Class","208142","208142","John Barnes4","10","234","0","Running","-1:33.533","0","","2:22.433","2:18.559","13","33","18","0","100","0"
"8","72","Mercedes AMG GT3","59","GT3 Class","141643","141643","Paul Gosling2","14","236","0","Running","-1:55.339","0","","2:23.094","2:20.054","9","33","9","0","100","0"
"9","55","BMW Z4 GT3","59","GT3 Class","317758","317758","Thijs Vanden Berghe","19","315","0","Running","-1:57.612","0","","2:23.163","2:20.239","15","33","23","0","100","0"
"10","72","Mercedes AMG GT3","59","GT3 Class","127961","127961","Neil Cooper","6","75","0","Running","-2 L","0","","2:30.132","2:18.295","11","31","16","0","100","0"
"11","73","Audi R8 LMS","59","GT3 Class","324707","324707","dries Moujdy","4","277","0","Running","-6 L","0","","2:53.590","2:18.288","3","27","16","0","100","0"
"12","73","Audi R8 LMS","59","GT3 Class","305843","305843","John Tusting","13","235","0","Running","-8 L","0","","2:24.821","2:18.532","5","25","7","0","100","0"
"13","73","Audi R8 LMS","59","GT3 Class","302931","302931","David Fuller3","12","233","0","Running","-11 L","0","","3:36.726","2:19.947","19","22","16","0","100","0"
"14","72","Mercedes AMG GT3","59","GT3 Class","254157","254157","Chris Moretta","9","88","32","Disconnected","-15 L","0","","2:19.348","2:18.065","15","18","9","0","100","0"
"15","72","Mercedes AMG GT3","59","GT3 Class","139160","139160","Jeromy Hessels","5","45","32","Disconnected","-16 L","0","","2:22.546","2:18.139","6","17","20","0","100","0"
"16","72","Mercedes AMG GT3","59","GT3 Class","92937","92937","Ryan D Walker","18","266","32","Disconnected","-23 L","0","","2:21.430","2:19.674","5","10","13","0","100","0"
"17","72","Mercedes AMG GT3","59","GT3 Class","178201","178201","Adam J Murray","8","31","32","Disconnected","-27 L","0","","7:13.908","2:26.901","6","6","11","0","100","0"
"18","72","Mercedes AMG GT3","59","GT3 Class","245605","245605","Lee Woodburn","22","375","32","Disconnected","-29 L","0","","2:39.635","","","4","12","0","100","0"
"19","72","Mercedes AMG GT3","59","GT3 Class","359902","359902","Matthias Temme","11","77","32","Disconnected","-30 L","0","","2:21.721","","","3","14","0","100","0"
"20","55","BMW Z4 GT3","59","GT3 Class","222068","222068","Steven Dewulf","15","276","32","Disconnected","-30 L","0","","2:22.203","2:18.678","2","3","5","0","100","0"
"21","72","Mercedes AMG GT3","59","GT3 Class","313474","313474","James Forsdyke","7","32","0","Running","-30 L","0","","2:21.532","","","3","8","0","100","0"
"22","72","Mercedes AMG GT3","59","GT3 Class","286046","286046","Sebastian Heberer","21","555","0","Running","-33 L","0","","00.000","","","0","0","0","100","0"
