"Start Time","Track","Series","Hosted Session Name"
"2020.02.19 6:30 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","72","Mercedes AMG GT3","0","Hosted All Cars Class","228725","228725","Danny Kroes","5","63","0","Running","-00.000","26","","1:44.899","1:43.031","7","35","13","0","100","0"
"2","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","146086","146086","Ben Palmer","2","44","0","Running","-00.063","7","","1:44.901","1:43.350","6","35","12","0","100","0"
"3","72","Mercedes AMG GT3","0","Hosted All Cars Class","313474","313474","James Forsdyke","10","32","0","Running","-06.287","0","","1:45.079","1:43.204","7","35","6","0","100","0"
"4","72","Mercedes AMG GT3","0","Hosted All Cars Class","310532","310532","Lewis Ward","12","97","0","Running","-09.876","0","","1:45.181","1:43.333","3","35","1","0","100","0"
"5","72","Mercedes AMG GT3","0","Hosted All Cars Class","236652","236652","Ashley Beard","13","30","0","Running","-19.232","0","","1:45.448","1:43.210","5","35","13","0","100","0"
"6","72","Mercedes AMG GT3","0","Hosted All Cars Class","328174","328174","Tom Metherell","19","17","0","Running","-19.362","0","","1:45.539","1:43.136","13","35","18","0","100","0"
"7","72","Mercedes AMG GT3","0","Hosted All Cars Class","223567","223567","Louis Hancke","11","281","0","Running","-19.452","0","","1:45.455","1:43.143","10","35","5","0","100","0"
"8","72","Mercedes AMG GT3","0","Hosted All Cars Class","292686","292686","Bod Boland","14","26","0","Running","-30.598","0","","1:45.773","1:43.484","5","35","19","0","100","0"
"9","72","Mercedes AMG GT3","0","Hosted All Cars Class","127961","127961","Neil Cooper","16","75","0","Running","-32.748","0","","1:45.834","1:43.266","10","35","18","0","100","0"
"10","73","Audi R8 LMS","0","Hosted All Cars Class","324707","324707","dries Moujdy","23","277","0","Running","-32.907","0","","1:45.839","1:43.637","8","35","2","0","100","0"
