"Start Time","Track","Series","Hosted Session Name"
"2020.02.17 7:30 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","59","Ford GT GT3","0","Hosted All Cars Class","141923","141923","Maarten van Loozenoord","0","1","0","Running","-00.000","0","","1:43.452","1:42.266","11","28","33","","100","0"
"2","72","Mercedes AMG GT3","0","Hosted All Cars Class","292686","292686","Bod Boland","0","26","0","Running","10 L","0","","1:43.919","1:42.313","30","38","31","","100","0"
"3","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","262548","262548","Stijn Vanbuel","0","47","0","Running","-24 L","0","","1:46.060","1:42.396","1","4","2","","100","0"
"4","72","Mercedes AMG GT3","0","Hosted All Cars Class","223567","223567","Louis Hancke","0","281","0","Running","3 L","0","","1:43.370","1:42.418","30","31","25","","100","0"
"5","73","Audi R8 LMS","0","Hosted All Cars Class","107823","107823","Dion Phillips","0","55","0","Running","-9 L","0","","1:45.120","1:42.437","12","19","9","","100","0"
"6","72","Mercedes AMG GT3","0","Hosted All Cars Class","313474","313474","James Forsdyke","0","32","0","Running","-00.182","0","","1:43.198","1:42.448","28","28","21","","100","0"
"7","73","Audi R8 LMS","0","Hosted All Cars Class","166026","166026","Nick Schurmans","0","288","0","Running","4 L","0","","1:43.955","1:42.544","23","32","20","","100","0"
"8","72","Mercedes AMG GT3","0","Hosted All Cars Class","127961","127961","Neil Cooper","0","75","0","Running","5 L","0","","1:43.368","1:42.597","9","33","15","","100","0"
"9","73","Audi R8 LMS","0","Hosted All Cars Class","243150","243150","Sebastian Hawkins","0","10","0","Running","1 L","0","","1:43.998","1:42.597","17","29","30","","100","0"
"10","72","Mercedes AMG GT3","0","Hosted All Cars Class","254157","254157","Chris Moretta","0","88","0","Running","-10 L","0","","1:45.868","1:42.629","12","18","14","","100","0"
"11","72","Mercedes AMG GT3","0","Hosted All Cars Class","302931","302931","David Fuller3","0","233","0","Running","12 L","0","","1:44.805","1:42.697","30","40","19","","100","0"
"12","55","BMW Z4 GT3","0","Hosted All Cars Class","222068","222068","Steven Dewulf","0","276","0","Running","-11 L","0","","1:44.747","1:42.735","16","17","9","","100","0"
"13","72","Mercedes AMG GT3","0","Hosted All Cars Class","92937","92937","Ryan D Walker","0","266","0","Running","-10 L","0","","1:45.857","1:42.738","17","18","12","","100","0"
"14","73","Audi R8 LMS","0","Hosted All Cars Class","324707","324707","dries Moujdy","0","277","0","Running","-6 L","0","","1:44.320","1:42.740","14","22","6","","100","0"
"15","72","Mercedes AMG GT3","0","Hosted All Cars Class","328403","328403","Sam Bentham","0","237","0","Running","3 L","0","","1:45.470","1:42.857","22","31","11","","100","0"
"16","72","Mercedes AMG GT3","0","Hosted All Cars Class","365734","365734","Oli Slade","0","50","0","Running","-21 L","0","","1:45.919","1:42.957","2","7","7","","100","0"
"17","72","Mercedes AMG GT3","0","Hosted All Cars Class","208142","208142","John Barnes4","0","234","0","Running","-13 L","0","","1:43.471","1:42.977","15","15","7","","100","0"
"18","72","Mercedes AMG GT3","0","Hosted All Cars Class","305843","305843","John Tusting","0","235","0","Running","15 L","0","","1:44.822","1:43.284","38","43","31","","100","0"
"19","72","Mercedes AMG GT3","0","Hosted All Cars Class","344252","344252","James Hobden","0","346","0","Running","10 L","0","","1:45.060","1:43.386","16","38","25","","100","0"
"20","55","BMW Z4 GT3","0","Hosted All Cars Class","317758","317758","Thijs Vanden Berghe","0","315","0","Running","-10 L","0","","1:45.183","1:43.838","17","18","20","","100","0"
"21","72","Mercedes AMG GT3","0","Hosted All Cars Class","308617","308617","Steven Kastrop","0","313","0","Running","-17 L","0","","1:47.095","1:44.411","10","11","19","","100","0"
