"Start Time","Track","Series","Hosted Session Name"
"2020.02.19 6:30 PM GMT","Daytona International Speedway - Road Course","Hosted iRacing","DynamiXX Simracersworld GT PRO Series"



"League Name","League ID","League Season","League Season ID","Points System"
"DynamiXX Simracersworld? GT PRO Series","2923","Season 6","48937","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","335074","335074","PJ Claeysens","0","27","0","Running","-00.000","0","1:41.929","1:42.281","1:41.929","7","7","8","","100","0"
"2","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","146086","146086","Ben Palmer","0","44","0","Running","-00.226","0","1:42.156","1:53.293","1:42.156","1","9","2","","100","0"
"3","59","Ford GT GT3","0","Hosted All Cars Class","141923","141923","Maarten van Loozenoord","0","1","0","Running","-00.266","0","1:42.195","1:42.395","1:42.195","5","8","3","","100","0"
"4","72","Mercedes AMG GT3","0","Hosted All Cars Class","322223","322223","Jack Ashton","0","98","0","Running","-00.366","0","1:42.295","1:52.343","1:42.295","1","8","1","","100","0"
"5","72","Mercedes AMG GT3","0","Hosted All Cars Class","228725","228725","Danny Kroes","0","63","0","Running","-00.416","0","1:42.346","1:42.430","1:42.346","9","13","5","","100","0"
"6","73","Audi R8 LMS","0","Hosted All Cars Class","107823","107823","Dion Phillips","0","55","0","Running","-00.530","0","1:42.459","1:43.150","1:42.459","8","8","1","","100","0"
"7","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","262548","262548","Stijn Vanbuel","0","47","0","Running","-00.642","0","1:42.572","1:43.172","1:42.572","2","4","1","","100","0"
"8","72","Mercedes AMG GT3","0","Hosted All Cars Class","328403","328403","Sam Bentham","0","237","0","Running","-00.684","0","1:42.614","1:50.600","1:42.614","2","5","9","","100","0"
"9","72","Mercedes AMG GT3","0","Hosted All Cars Class","208142","208142","John Barnes4","0","234","0","Running","-00.773","0","1:42.703","1:48.049","1:42.703","2","10","6","","100","0"
"10","72","Mercedes AMG GT3","0","Hosted All Cars Class","313474","313474","James Forsdyke","0","32","0","Running","-00.776","0","1:42.706","1:56.875","1:42.706","7","7","1","","100","0"
"11","72","Mercedes AMG GT3","0","Hosted All Cars Class","223567","223567","Louis Hancke","0","281","0","Running","-00.807","0","1:42.737","1:43.161","1:42.737","1","6","3","","100","0"
"12","72","Mercedes AMG GT3","0","Hosted All Cars Class","310532","310532","Lewis Ward","0","97","0","Running","-00.838","0","1:42.767","1:43.061","1:42.767","2","7","4","","100","0"
"13","72","Mercedes AMG GT3","0","Hosted All Cars Class","236652","236652","Ashley Beard","0","30","0","Running","-00.922","0","1:42.852","1:56.506","1:42.852","10","10","3","","100","0"
"14","72","Mercedes AMG GT3","0","Hosted All Cars Class","292686","292686","Bod Boland","0","26","0","Running","-00.936","0","1:42.866","1:44.164","1:42.866","4","11","4","","100","0"
"15","43","McLaren MP4-12C GT3","0","Hosted All Cars Class","41698","41698","Steven Van Opstal","0","49","0","Running","-00.969","0","1:42.899","1:51.194","1:42.899","5","13","7","","100","0"
"16","72","Mercedes AMG GT3","0","Hosted All Cars Class","127961","127961","Neil Cooper","0","75","0","Running","-00.977","0","1:42.907","1:47.018","1:42.907","4","12","1","","100","0"
"17","72","Mercedes AMG GT3","0","Hosted All Cars Class","254157","254157","Chris Moretta","0","88","0","Running","-01.042","0","1:42.972","1:43.478","1:42.972","5","7","4","","100","0"
"18","72","Mercedes AMG GT3","0","Hosted All Cars Class","302931","302931","David Fuller3","0","233","0","Running","-01.062","0","1:42.992","1:46.073","1:42.992","1","7","5","","100","0"
"19","72","Mercedes AMG GT3","0","Hosted All Cars Class","328174","328174","Tom Metherell","0","17","0","Running","-01.078","0","1:43.008","1:49.092","1:43.008","12","12","6","","100","0"
"20","72","Mercedes AMG GT3","0","Hosted All Cars Class","305843","305843","John Tusting","0","235","0","Running","-01.097","0","1:43.027","1:53.694","1:43.027","3","6","2","","100","0"
"21","73","Audi R8 LMS","0","Hosted All Cars Class","166026","166026","Nick Schurmans","0","288","0","Running","-01.133","0","1:43.063","1:43.773","1:43.063","7","8","4","","100","0"
"22","55","BMW Z4 GT3","0","Hosted All Cars Class","139160","139160","Jeromy Hessels","0","45","0","Running","-01.146","0","1:43.076","1:43.662","1:43.076","2","7","5","","100","0"
"23","73","Audi R8 LMS","0","Hosted All Cars Class","324707","324707","dries Moujdy","0","277","0","Running","-01.168","0","1:43.098","1:43.177","1:43.098","3","7","2","","100","0"
"24","72","Mercedes AMG GT3","0","Hosted All Cars Class","185910","185910","Justin Naaijer","0","333","0","Running","-01.212","0","1:43.142","1:45.084","1:43.142","3","4","0","","100","0"
"25","72","Mercedes AMG GT3","0","Hosted All Cars Class","178201","178201","Adam J Murray","0","31","0","Running","-01.214","0","1:43.143","1:47.430","1:43.143","1","8","4","","100","0"
